,precision,recall,f1-score,support
0.0,0.2781954887218045,0.925,0.4277456647398844,40.0
1.0,1.0,0.06666666666666667,0.125,30.0
2.0,0.0,0.0,0.0,10.0
3.0,0.0,0.0,0.0,10.0
4.0,0.0,0.0,0.0,30.0
5.0,1.0,0.05,0.09523809523809523,20.0
accuracy,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
macro avg,0.37969924812030076,0.17361111111111113,0.10799729332966328,140.0
weighted avg,0.43662728249194416,0.2857142857142857,0.16260420353112343,140.0
