,precision,recall,f1-score,support
0.0,0.0,0.0,0.0,20.0
1.0,0.14516129032258066,0.45,0.2195121951219512,20.0
2.0,0.14285714285714285,0.1,0.11764705882352941,20.0
3.0,0.0,0.0,0.0,20.0
4.0,0.0,0.0,0.0,30.0
5.0,0.22580645161290322,0.4666666666666667,0.3043478260869565,30.0
accuracy,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858
macro avg,0.08563748079877113,0.16944444444444443,0.10691784667207287,140.0
weighted avg,0.08953258722843975,0.17857142857142858,0.11338299901084505,140.0
