,precision,recall,f1-score,support
0.0,0.07142857142857142,1.0,0.13333333333333333,10.0
1.0,0.0,0.0,0.0,10.0
2.0,0.0,0.0,0.0,10.0
3.0,0.0,0.0,0.0,40.0
4.0,0.0,0.0,0.0,30.0
5.0,0.0,0.0,0.0,40.0
accuracy,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
macro avg,0.011904761904761904,0.16666666666666666,0.022222222222222223,140.0
weighted avg,0.00510204081632653,0.07142857142857142,0.009523809523809523,140.0
