,precision,recall,f1-score,support
0.0,0.36231884057971014,1.0,0.5319148936170213,50.0
1.0,0.0,0.0,0.0,20.0
2.0,0.0,0.0,0.0,10.0
3.0,0.0,0.0,0.0,20.0
4.0,0.5,0.03333333333333333,0.0625,30.0
5.0,0.0,0.0,0.0,10.0
accuracy,0.36428571428571427,0.36428571428571427,0.36428571428571427,0.36428571428571427
macro avg,0.14371980676328502,0.17222222222222225,0.0990691489361702,140.0
weighted avg,0.2365424430641822,0.36428571428571427,0.20336246200607902,140.0
