,precision,recall,f1-score,support
0.0,0.35877862595419846,0.94,0.5193370165745855,50.0
1.0,0.0,0.0,0.0,20.0
2.0,0.0,0.0,0.0,10.0
3.0,0.14285714285714285,0.1,0.11764705882352941,10.0
4.0,0.0,0.0,0.0,30.0
5.0,0.0,0.0,0.0,20.0
accuracy,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286
macro avg,0.08360596146855688,0.17333333333333334,0.1061640125663525,140.0
weighted avg,0.13833930518772394,0.34285714285714286,0.19388086726403264,140.0
