Component,XGBoost,LSTM,Hybrid
CircP_label,0.7236829779926254,0.07142857142857142,0.0
FWP_label,0.6827792932547241,0.2857142857142857,0.0
ConP_label,0.8454573066016446,0.34285714285714286,0.0
LPT_label,0.6555290938457128,0.17857142857142858,0.0
HPT_label,0.8454516294767678,0.36428571428571427,0.0
overall,0.7505800602342949,0.24857142857142858,0.0
